,employeeid,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekbefore,ncoachingid,total coaching improved,csat,actualvalue
471,26703964,67.8575,,,,95.0,100.0,87.5,83.33,,,90.88,100.00
472,26703965,100.0,96.4275,,,91.66666666666667,87.5,91.66666666666667,100.0,,,98.14,92.31
473,26703967,96.4275,70.8325,,,95.0,89.5825,98.462,100.0,,,88.75,96.15
474,26703970,72.22333333333334,75.0,,,100.0,93.75,83.3325,50.0,,,86.4,
475,26703971,100.0,100.0,,,80.0,100.0,100.0,100.0,,,98.0,100.00
476,26703971,100.0,100.0,,,80.0,100.0,100.0,100.0,,,98.0,100.00
477,26703972,100.0,86.6675,,,96.4275,93.77799999999999,92.666,100.0,,,92.1,91.30
478,26703973,93.33333333333333,100.0,,,90.0,96.4275,78.03,100.0,,,96.97,100.00
479,26703977,90.1775,100.0,,,86.0,61.666,92.666,100.0,,,79.26,92.86
480,26703978,100.0,100.0,,,96.666,100.0,73.334,100.0,,,96.94,88.24
481,26703979,93.33333333333333,96.4275,,,96.4275,100.0,100.0,100.0,,,97.46,100.00
482,26703981,100.0,100.0,,,,80.0,100.0,100.0,,,90.48,
483,26703982,93.75,94.44333333333333,,,82.666,95.556,91.6675,100.0,,,97.01,93.18
484,26703982,93.75,94.44333333333333,,,82.666,95.556,91.6675,100.0,,,97.01,93.18
485,26703983,83.33500000000001,95.8325,,,100.0,100.0,100.0,100.0,,,91.54,88.89
486,35706305,,92.0,,93.334,79.1675,87.5,91.6675,100.0,5.0,4.0,95.95,87.50
487,35706317,81.77,,81.99375,,87.21333333333334,86.83777777777777,86.64888888888888,33.33,16.0,4.0,96.68,88.46
488,35706317,81.77,,81.99375,,87.21333333333334,86.83777777777777,86.64888888888888,50.0,16.0,4.0,96.68,88.46
489,35706321,86.556,,87.222,,71.53333333333333,86.9042857142857,91.666,83.33,13.0,4.0,93.76,
