iter	Passed	Remaining
531	450	396
532	451	395
533	452	394
534	452	393
535	453	392
536	454	391
537	454	390
538	455	389
539	456	388
540	457	388
541	458	387
542	458	386
543	459	385
544	460	384
545	460	383
546	461	382
547	462	381
548	463	380
549	463	379
550	464	378
551	465	377
552	466	376
553	466	375
554	467	375
555	468	374
556	469	373
557	469	372
558	470	371
559	471	370
560	472	369
561	473	369
562	474	368
563	475	367
564	476	367
565	478	366
566	479	365
567	480	365
568	481	364
569	482	363
570	483	362
571	483	361
572	484	361
573	485	360
574	485	359
575	486	358
576	487	357
577	488	356
578	489	356
579	490	355
580	491	354
581	492	353
582	492	352
583	493	351
584	494	350
585	495	350
586	496	349
587	497	348
588	498	347
589	499	346
590	499	346
591	500	345
592	501	344
593	502	343
594	503	342
595	504	342
596	505	341
597	506	340
598	507	339
599	508	338
600	509	337
601	510	337
602	510	336
603	511	335
604	512	334
605	513	333
606	514	333
607	515	332
608	516	331
609	517	330
610	518	330
611	519	329
612	520	328
613	521	328
614	523	327
615	524	326
616	525	326
617	526	325
618	528	325
619	529	324
620	530	323
621	531	323
622	533	322
623	534	321
624	535	321
625	536	320
626	537	319
627	539	319
628	549	324
629	550	323
630	552	322
631	553	322
632	554	321
633	556	321
634	557	320
635	558	319
636	559	319
637	561	318
638	562	317
639	563	317
640	564	316
641	566	315
642	567	314
643	568	314
644	569	313
645	570	312
646	572	312
647	573	311
648	574	310
649	575	309
650	576	309
651	578	308
652	579	307
653	581	307
654	582	306
655	583	305
656	584	305
657	585	304
658	586	303
659	588	303
660	589	302
661	590	301
662	591	300
663	594	300
664	594	299
665	595	298
666	596	297
667	597	296
668	598	296
669	599	295
670	600	294
671	602	293
672	603	293
673	604	292
674	606	291
675	608	291
676	609	290
677	610	290
678	612	289
679	613	288
680	614	287
681	615	286
682	616	286
683	616	285
684	617	284
685	619	283
686	620	282
687	622	282
688	623	281
689	624	280
690	625	279
691	625	278
692	626	277
693	628	276
694	629	276
695	630	275
696	632	274
697	633	273
698	634	273
699	635	272
700	635	271
701	636	270
702	637	269
703	639	268
704	639	267
705	640	266
706	641	265
707	642	264
708	643	263
709	644	263
710	645	262
711	646	261
712	647	260
713	649	260
714	650	259
715	651	258
716	653	257
717	654	257
718	655	256
719	657	255
720	658	254
721	660	254
722	661	253
723	662	252
724	663	251
725	665	251
726	666	250
727	667	249
728	668	248
729	669	247
730	670	246
731	671	245
732	672	244
733	673	243
734	674	243
735	675	242
736	677	241
737	678	240
738	679	239
739	680	239
740	681	238
741	682	237
742	683	236
743	684	235
744	685	234
745	687	234
746	688	233
747	690	232
748	691	231
749	692	230
750	694	230
751	695	229
752	696	228
753	698	227
754	699	227
755	701	226
756	702	225
757	703	224
758	705	224
759	707	223
760	708	222
761	709	221
762	714	222
763	716	221
764	717	220
765	718	219
766	720	218
767	722	218
768	723	217
769	725	216
770	726	215
771	727	214
772	728	213
773	730	213
774	731	212
775	732	211
776	732	210
777	733	209
778	734	208
779	735	207
780	737	206
781	738	205
782	741	205
783	752	207
784	755	206
785	756	205
786	758	205
787	761	204
788	763	204
789	764	203
790	766	202
791	771	202
792	772	201
793	773	200
794	780	201
795	786	201
796	791	201
797	792	200
798	793	199
799	802	200
800	807	200
801	808	199
802	810	198
803	811	197
804	812	196
805	813	195
806	814	194
807	815	193
808	817	192
809	818	191
810	819	191
811	822	190
812	843	193
813	845	193
814	846	192
815	847	191
816	849	190
817	850	189
818	852	188
819	858	188
820	859	187
821	861	186
822	862	185
823	863	184
824	865	183
825	886	186
826	902	188
827	905	188
828	908	187
829	910	186
830	912	185
831	913	184
832	916	183
833	942	187
834	965	190
835	966	189
836	968	188
837	969	187
838	971	186
839	980	186
840	982	185
841	983	184
842	984	183
843	985	182
844	987	181
845	988	179
846	989	178
847	991	177
848	992	176
849	994	175
850	994	174
851	996	173
852	998	172
853	999	170
854	1000	169
855	1002	168
856	1003	167
857	1004	166
858	1005	165
859	1007	163
860	1008	162
861	1009	161
862	1010	160
863	1012	159
864	1013	158
865	1015	157
866	1016	155
867	1017	154
868	1019	153
869	1020	152
870	1022	151
871	1024	150
872	1026	149
873	1028	148
874	1030	147
875	1031	145
876	1032	144
877	1034	143
878	1035	142
879	1037	141
880	1039	140
881	1040	139
882	1042	138
883	1043	136
884	1045	135
885	1046	134
886	1047	133
887	1049	132
888	1050	131
889	1051	130
890	1053	128
891	1054	127
892	1055	126
893	1057	125
894	1058	124
895	1059	122
896	1060	121
897	1062	120
898	1063	119
899	1064	118
900	1066	117
901	1067	116
902	1069	114
903	1070	113
904	1071	112
905	1073	111
906	1074	110
907	1077	109
908	1078	107
909	1079	106
910	1082	105
911	1084	104
912	1086	103
913	1089	102
914	1093	101
915	1094	100
916	1096	99
917	1105	98
918	1117	98
919	1119	97
920	1119	96
921	1120	94
922	1122	93
923	1122	92
924	1124	91
925	1125	89
926	1126	88
927	1127	87
928	1128	86
929	1129	84
930	1129	83
931	1131	82
932	1133	81
933	1134	80
934	1135	78
935	1137	77
936	1138	76
937	1139	75
938	1140	74
939	1142	72
940	1143	71
941	1154	71
942	1156	69
943	1157	68
944	1165	67
945	1166	66
946	1167	65
947	1168	64
948	1170	62
949	1171	61
950	1173	60
951	1174	59
952	1176	57
953	1177	56
954	1179	55
955	1180	54
956	1181	53
957	1182	51
958	1183	50
959	1185	49
960	1186	48
961	1187	46
962	1188	45
963	1189	44
964	1191	43
965	1192	41
966	1193	40
967	1195	39
968	1196	38
969	1198	37
970	1200	35
971	1201	34
972	1202	33
973	1204	32
974	1205	30
975	1206	29
976	1208	28
977	1209	27
978	1210	25
979	1211	24
980	1212	23
981	1213	22
982	1214	20
983	1214	19
984	1216	18
985	1217	17
986	1218	16
987	1219	14
988	1220	13
989	1222	12
990	1223	11
991	1224	9
992	1225	8
993	1226	7
994	1227	6
995	1228	4
996	1229	3
997	1230	2
998	1231	1
999	1232	0
