iter	Logloss
0	0.6918619444
1	0.6905475556
2	0.6892689259
3	0.686938354
4	0.6851489623
5	0.6837244214
6	0.6816910978
7	0.6802577977
8	0.6785600504
9	0.6767424886
10	0.6746233821
11	0.6729015541
12	0.6710261013
13	0.6694707755
14	0.6673901898
15	0.6656120866
16	0.6638942677
17	0.6625802076
18	0.6608258301
19	0.6593761122
20	0.6581109414
21	0.6568670693
22	0.6551453089
23	0.6537370853
24	0.6517145707
25	0.6499043751
26	0.6482015724
27	0.6468824027
28	0.6454719815
29	0.6441717833
30	0.642550147
31	0.6408453816
32	0.6393810886
33	0.6379987034
34	0.6365383776
35	0.6350959538
36	0.6336452684
37	0.6321231263
38	0.6302842932
39	0.6285609425
40	0.6271092395
41	0.6258330592
42	0.6244604655
43	0.6229853631
44	0.6219338227
45	0.6201691568
46	0.6188041604
47	0.6175375889
48	0.6158524323
49	0.6143027466
50	0.6128067954
51	0.6113668965
52	0.6097910664
53	0.6085303389
54	0.6069142193
55	0.6053751469
56	0.6033870935
57	0.6020666709
58	0.6006575737
59	0.5991632665
60	0.5975860728
61	0.5961323597
62	0.5946619794
63	0.5932200252
64	0.591797959
65	0.5900581603
66	0.5887584815
67	0.5877616066
68	0.5861405211
69	0.5845431564
70	0.5828680714
71	0.581389432
72	0.5798183596
73	0.5785027595
74	0.5772176939
75	0.5758630012
76	0.5747549807
77	0.573492128
78	0.572099262
79	0.5707461329
80	0.5692952856
81	0.5682596265
82	0.5668918925
83	0.5657580402
84	0.5646352849
85	0.5634265378
86	0.5623855804
87	0.5609023284
88	0.5597022219
89	0.5585753491
90	0.5573081368
91	0.5561692582
92	0.554478099
93	0.5529808973
94	0.5515673026
95	0.5501983532
96	0.5491325788
97	0.5480591314
98	0.5468902362
99	0.5460790867
100	0.5447962475
101	0.543792767
102	0.5423421285
103	0.5411485181
104	0.5401604282
105	0.5390229038
106	0.5376363553
107	0.5366983067
108	0.5355738185
109	0.534557933
110	0.5334302213
111	0.5321086556
112	0.5308030802
113	0.5296912087
114	0.5286553615
115	0.527456377
116	0.5265467301
117	0.525301422
118	0.5241578912
119	0.5228797831
120	0.5215311029
121	0.5201199997
122	0.5189555392
123	0.5180548285
124	0.5172871019
125	0.5159803402
126	0.5145628298
127	0.5133564246
128	0.5124109595
129	0.5113064204
130	0.5104920343
131	0.5095305767
132	0.5086629326
133	0.5074515981
134	0.5065543351
135	0.5054930324
136	0.5043959721
137	0.5036358383
138	0.5030784526
139	0.5017116155
140	0.5005767142
141	0.4993590667
142	0.4984334585
143	0.4976545359
144	0.4968279408
145	0.4959682715
146	0.4951549001
147	0.494008055
148	0.4928927047
149	0.4921386682
150	0.491212016
151	0.4901738071
152	0.4892192884
153	0.4883441436
154	0.4873145339
155	0.4864609529
156	0.485455249
157	0.4843409783
158	0.4835870255
159	0.4826988387
160	0.4818988196
161	0.4809571381
162	0.4798590844
163	0.4791835259
164	0.4783109343
165	0.477184175
166	0.4761110949
167	0.4747831106
168	0.4741652033
169	0.4733200512
170	0.4723976947
171	0.4714096346
172	0.4704628746
173	0.4695888592
174	0.4688695384
175	0.468045624
176	0.4672360656
177	0.4663154239
178	0.4653870764
179	0.4645243473
180	0.46371943
181	0.462638635
182	0.4618675002
183	0.4610139858
184	0.4601587409
185	0.4594885269
186	0.458324578
187	0.4577661014
188	0.4568611604
189	0.4558717119
190	0.4547273291
191	0.4539988163
192	0.4531528156
193	0.4523760608
194	0.4514948824
195	0.4506515349
196	0.4499390835
197	0.4491664946
198	0.4481666153
199	0.4473792583
200	0.4464432458
201	0.4457940046
202	0.4449561245
203	0.4440873624
204	0.4431052886
205	0.442061611
206	0.4414068026
207	0.4406155497
208	0.4399982811
209	0.4394414044
210	0.4386095993
211	0.4378882026
212	0.4369981611
213	0.436118849
214	0.4353011865
215	0.4345667234
216	0.4338370959
217	0.4329723448
218	0.4323053081
219	0.4315932583
220	0.4308418116
221	0.430015158
222	0.4288830689
223	0.4282989161
224	0.4275705539
225	0.4264681579
226	0.4256884839
227	0.4247744113
228	0.4240890717
229	0.4233337463
230	0.4224630075
231	0.4215670065
232	0.4207759132
233	0.4197787456
234	0.4190401048
235	0.4181259252
236	0.4174284489
237	0.4168439855
238	0.4160345609
239	0.4153906911
240	0.4146921805
241	0.4136696202
242	0.4128804337
243	0.4122721418
244	0.4116572548
245	0.4109463772
246	0.4101534455
247	0.4090969729
248	0.4085110353
249	0.4077158099
250	0.406979611
251	0.4064276094
252	0.4055606452
253	0.4049690835
254	0.4044009829
255	0.403671744
256	0.4031664136
257	0.4022631398
258	0.4015410939
259	0.4007470095
260	0.399907341
261	0.3992389439
262	0.3986312352
263	0.3979872606
264	0.3972506125
265	0.3967400481
266	0.3958990125
267	0.3949606985
268	0.3943038859
269	0.393533866
270	0.3927304497
271	0.3920322592
272	0.3914327317
273	0.390603517
274	0.3899614655
275	0.389472536
276	0.3890772524
277	0.388402183
278	0.3878546637
279	0.3870007204
280	0.3865063795
281	0.3857360866
282	0.3850381087
283	0.3845114493
284	0.3838174687
285	0.3830502021
286	0.3823084184
287	0.3817473763
288	0.3810634696
289	0.3803605983
290	0.379717853
291	0.379104448
292	0.3786143642
293	0.3781713285
294	0.3775710965
295	0.3766431463
296	0.3757748383
297	0.3753503392
298	0.3748211535
299	0.3740327196
300	0.3730902758
301	0.3723775453
302	0.3717553935
303	0.3711770912
304	0.3705920594
305	0.3699628034
306	0.3692600732
307	0.3686509541
308	0.3678238721
309	0.3671400256
310	0.3666405468
311	0.3660938078
312	0.365389369
313	0.3648245806
314	0.3641507663
