,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,total coaching improved,csat,sin(csat),cos(csat),Tuesday_multiply_Thursday,Monday_multiply_Saturday,Sunday_multiply_Friday,Friday_multiply_Saturday,actualvalue_class
201,94.0,90.27749633789062,96.63500213623047,93.24714660644531,95.45500183105469,98.41285705566406,100.0,0.7714525940169151,0.47406653,1.2985865,-0.38818586,9393.999450447736,8723.966051465599,8765.23178100586,9083.690200805664,1
436,97.95857238769531,96.42749786376953,100.0,92.15429417277976,94.16666412353516,96.35375213623047,100.0,2.0,0.13561219,0.92481846,0.42441744,9073.311414454773,9642.749786376953,9027.303096561214,9795.857238769531,0
317,87.5,95.11384104580146,92.5,91.66500091552734,100.0,95.8324966430664,97.22222137451172,1.7693567725330586,0.22971426,1.0910839,0.1913934,9583.24966430664,8798.030296736635,8020.687580108643,8093.75,1
325,97.91666412353516,95.08875274658203,91.66666412353516,85.71428680419922,91.66500091552734,93.32142639160156,92.8550033569336,3.0,-0.93799484,-1.4456222,0.61014175,8554.308635624475,8716.468759946816,8392.857031595137,8975.693962309102,0
50,95.0,95.8324966430664,92.55964326655106,97.93646987738224,100.0,92.66600036621094,100.0,1.367192101811082,-1.2472274,-1.627628,-0.3240325,9266.600036621094,8870.221702625178,9303.964638351312,8793.16611032235,0
301,95.0,89.23625183105469,96.875,91.42857360839844,85.70999908447266,92.14286041259766,96.43000030517578,5.0,0.29318208,1.1774564,0.034530617,7897.564481604437,8644.761896133423,8685.714492797852,9203.125,1
182,95.83333587646484,92.85713958740234,92.5,93.57142639160156,100.0,83.33285522460938,100.0,0.41431702239689727,-0.4647459,-0.6399199,1.33513,8333.285522460938,8589.285411834717,8967.26193382626,8864.583568572998,0
300,95.0,89.23625183105469,96.875,91.42857360839844,85.70999908447266,92.14286041259766,96.43000030517578,5.0,0.29318208,1.1774564,0.034530617,7897.564481604437,8644.761896133423,8685.714492797852,9203.125,1
275,100.0,90.0,96.13682398385261,96.97000122070312,93.45166778564453,96.66600036621094,93.57142639160156,2.0,0.09834103,0.8475451,0.51517284,9033.598952390137,8652.314158546735,9697.000122070312,9613.682398385261,0
123,93.46727045624212,91.66625213623047,95.57714080810547,98.41285705566406,96.09835798846589,96.28333282470703,93.19499969482422,1.0,0.33154652,1.2188786,-0.058917273,9252.670186111305,8761.198287775798,9198.381126793249,8933.33446934553,0
308,95.13249969482422,87.4942855834961,94.83999633789062,93.80750274658203,97.80764816718182,91.48110961914062,95.09082042590929,1.0,-0.5825715,-0.901329,1.2851216,8947.5521835723,8297.957724325126,8924.142226411437,9022.36592267151,1
62,90.43499755859375,97.74080512475008,97.22166442871094,96.29666900634766,97.95857238769531,97.22250366210938,90.0,1.8024566058501084,0.7339715,1.151414,-0.8802665,9523.777662697714,9502.523756830482,8708.58902648976,8792.240985252894,1
464,100.0,83.33333587646484,100.0,95.77242225981142,96.0,95.83333587646484,100.0,0.8969164677185011,0.843344,0.99296844,-1.0442218,9200.000244140625,8333.333587646484,9577.242225981143,10000.0,1
287,100.20223456625666,100.0,98.17310682631658,100.0,93.33399963378906,100.0,95.83333587646484,1.2626651418439179,-0.16275328,0.17924003,1.0675192,9333.399963378906,9817.310682631658,10020.223456625667,9837.164678308747,0
237,98.07749938964844,91.66666412353516,91.6675033569336,100.0,96.35375213623047,93.1971435546875,93.33333587646484,2.0,-0.24551545,-0.05513721,1.1910285,8979.894469873048,8402.854241263063,9807.749938964844,8990.51950454025,0
326,97.91666412353516,95.08875274658203,91.66666412353516,85.71428680419922,91.66500091552734,93.32142639160156,92.8550033569336,3.0,-0.93799484,-1.4456222,0.61014175,8554.308635624475,8716.468759946816,8392.857031595137,8975.693962309102,0
440,81.6675033569336,88.9950520054426,98.41285705566406,96.42857360839844,100.0,96.27528657541838,96.66666412353516,1.0,-0.36763564,-0.3928823,1.3073169,9627.528657541838,8758.257331673012,7875.0808588681975,8037.132333958871,1
432,91.94400024414062,89.50375366210938,100.0,90.47571563720703,83.0363822922089,92.06285858154297,91.817366861387,4.0,1.1669184,0.32459208,-1.3898079,7644.566720090566,8950.375366210938,8318.699220636161,9194.400024414062,0
200,94.0,90.27749633789062,96.63500213623047,93.24714660644531,95.45500183105469,98.41285705566406,100.0,0.7714525940169151,0.47406653,1.2985865,-0.38818586,9393.999450447736,8723.966051465599,8765.23178100586,9083.690200805664,1
304,100.0,89.28500366210938,85.12999725341797,91.9366683959961,90.0,97.5,93.43634978686866,4.0,-0.16275328,0.17924003,1.0675192,8775.0,7600.832116526784,9193.66683959961,8512.999725341797,0
248,100.0,100.0,100.0,93.57907669116639,92.20166778564453,100.0,100.0,1.2577317928880893,1.0811807,0.51947176,-1.3178415,9220.166778564453,10000.0,9357.90766911664,10000.0,0
239,94.44499969482422,94.56607616210906,97.91666412353516,90.16994934224334,76.66600036621094,96.93111419677734,94.3499984741211,0.9776643510769589,0.055118427,0.750767,0.61818206,7431.320836507366,9259.594717045877,8516.100838110488,9247.739313265483,1
14,100.0,94.44499969482422,89.28666687011719,82.06002407633993,93.33333587646484,95.10142517089844,100.0,2.2123872538485916,0.7475571,1.1344222,-0.90198284,8876.133257805952,8432.67922530009,8206.002407633992,8928.666687011719,1
424,98.48500061035156,100.0,94.77634074223653,100.12514706731062,97.4022216796875,93.29444122314453,89.84625244140625,2.0,-1.025994,-1.5256112,0.35434404,9087.0858454993,9477.634074223653,9860.825170035627,9334.047975846051,0
409,95.48714447021484,95.27749633789062,88.87287029058965,96.10997208327822,95.81888580322266,99.16625213623047,96.30428314208984,2.284381756427113,0.94037616,0.8166923,-1.1692888,9501.999788975052,8467.584573649483,9177.266789344303,8486.216604920199,1
399,96.447998046875,94.4219970703125,91.70044387193738,100.0,100.0,94.28571319580078,94.26285552978516,1.28621030355611,-1.9518349,-0.77789605,-1.5478449,9428.571319580078,8658.539042622428,9644.7998046875,8844.324231458188,0
169,97.90425888928266,85.59500122070312,94.44499969482422,100.0,96.20752980168173,100.0,100.0,2.0,1.1957079,0.25811347,-1.4109161,9620.752980168172,8084.019864167785,9790.425888928266,9246.567700920292,0
425,100.0,100.0,100.0,100.0,100.0,87.5,100.0,1.0,-1.0054164,-1.5088686,0.41591126,8750.0,10000.0,10000.0,10000.0,0
101,97.22333526611328,95.0,95.83499908447266,90.91000366210938,93.88449988965722,75.25800323486328,100.0,1.5188144553543255,0.08596006,0.8205773,0.54496086,7065.5599963993445,9104.324913024902,8838.573765084846,9317.398246217344,1
437,90.40125274658203,91.63724173730344,91.66625213623047,93.75,90.86444091796875,95.74487909305908,89.445556640625,4.0,0.34438497,1.2308768,-0.08984686,8699.804909549328,8400.04250616036,8475.117444992065,8286.744027699286,0
405,90.91000366210938,96.42857360839844,92.35945383343613,96.06500244140625,97.61856842041016,93.94000244140625,94.79125213623047,4.0,0.6664328,1.2232758,-0.76652044,9170.288555739913,8906.090392408974,8733.269723748788,8396.398286228101,1
128,100.0,93.75,92.5,87.91539789747233,95.83333587646484,93.3324966430664,92.36166381835938,1.0,0.26137218,1.1368927,0.11290728,8944.36449898401,8671.875,8791.539789747234,9250.0,1
486,92.2007112393118,92.0,94.6451573322164,93.33399963378906,79.1675033569336,87.5,91.6675033569336,4.0,0.58620447,1.2791609,-0.6186658,6927.156543731689,8707.354474563908,8605.461149045019,8726.350821386919,0
370,93.75,98.0,90.24245412982816,97.14199829101562,96.03142547607422,90.18199920654297,97.77799987792969,3.0,-1.1977615,-1.6175066,-0.17492826,8660.305936086515,8843.76050472316,9107.062339782715,8460.23007467139,1
256,94.0471420288086,97.91625213623047,90.7926637496754,94.50963284776395,93.56124877929688,96.82571411132812,89.58374786376953,5.0,-0.66531414,-1.0600392,1.194374,9059.134726203047,8890.077355833208,8888.36086352421,8538.790542839584,1
276,100.0,96.42857360839844,97.61833190917969,87.5,93.10333251953125,95.92555236816406,96.12999725341797,1.9122925720689359,-0.30978423,-0.23538655,1.2628467,8930.988599252887,9413.196504033403,8750.0,9761.833190917969,1
46,96.03142547607422,91.66666412353516,93.88833618164062,100.0,94.64250183105469,94.52333068847656,96.19000244140625,2.0,0.51344144,1.2998574,-0.4723248,8945.92449776153,8606.430577880004,9603.142547607422,9016.230759099824,1
192,100.0,90.0,94.79125213623047,100.0,97.22250366210938,100.0,93.98110961914062,1.0,-0.08492527,0.39510894,0.9243439,9722.250366210938,8531.212692260742,10000.0,9479.125213623047,0
16,96.98428344726562,91.11111450195312,95.22142791748047,95.32857513427734,98.75991610215543,97.60111236572266,97.28697427579678,1.259673576555608,-0.6707854,-1.0698345,1.1867929,9639.077668715814,8675.730422029039,9245.373551446712,9234.981955402298,1
78,94.86624908447266,91.11125183105469,95.35713958740234,94.38714599609375,97.80356310452379,95.41625213623047,98.99626430257189,3.0,0.018292094,0.66285896,0.7033817,9332.04943700297,8688.10835883685,8954.154502437916,9046.174156081339,0
404,100.0,97.1875,95.76156305157019,95.02143096923828,81.74571228027344,100.0,91.41143035888672,3.0,-1.1125748,-1.582744,0.088484645,8174.571228027344,9306.826909074478,9502.143096923828,9576.15630515702,0
359,100.0,100.0,94.58333587646484,89.45042206757054,92.0633316040039,98.9800033569336,100.0,1.717512120627069,1.9665852,-1.1474178,-1.4568311,9112.428871214797,9458.333587646484,8945.042206757054,9458.333587646484,1
354,89.5824966430664,100.0,100.0,100.07702141433158,96.0,85.10142517089844,100.0,1.0,-1.6399752,-1.415347,-1.2447088,8169.73681640625,10000.0,8965.149434897445,8958.24966430664,0
80,100.0,100.15790442916162,100.0,100.0,93.67333221435547,100.0,91.875,1.4089006731027474,0.04281871,0.72193146,0.64693415,9367.333221435547,10015.790442916163,10000.0,10000.0,0
455,93.33399963378906,100.0,100.0,98.70505231008775,100.0,100.0,96.0,0.998602951391336,3.1208963,-1.6045462,-0.05697366,10000.0,10000.0,9212.537316162861,9333.399963378906,1
63,100.0,85.71499633789062,97.72498974472715,94.54603155515397,100.0,88.88999938964844,100.0,1.0,0.9893639,0.7177873,-1.2253312,8888.999938964844,8376.497138089688,9454.603155515397,9772.498974472715,1
25,93.87714385986328,98.76555633544922,96.76856994628906,98.70143127441406,93.88231870750688,95.44110870361328,97.81565880215155,2.0,-0.49300992,-0.70654714,1.3316449,8960.23258511043,9557.40164653107,9265.808462922578,9084.35696196102,1
395,100.0,91.74666595458984,96.16313122104033,93.6500015258789,97.91625213623047,98.41222381591797,97.13777923583984,0.8308734577114499,-1.6671662,-1.3788664,-1.2879125,9636.156120446569,8822.646677284176,9365.00015258789,9616.313122104033,1
71,90.62333679199219,98.95874786376953,95.11833190917969,95.91374969482422,100.0,95.03111267089844,100.0,2.0,0.37012994,1.2520833,-0.15124089,9503.111267089844,9412.791024622857,8692.024041576893,8619.940627698088,1
127,100.0,90.87249755859375,94.16600036621094,92.85713958740234,91.4850288710863,95.63444519042969,96.1726879275925,6.0,-0.7468859,-1.1972457,1.0619324,8749.11997931678,8557.099638381042,9285.713958740234,9416.600036621094,0
283,90.81571197509766,100.0,95.83374786376953,96.27367768652846,87.61856842041016,98.61125183105469,95.08875274658203,1.0,-1.1327446,-1.5929219,0.025834382,8640.176715581561,9583.374786376953,8743.162583563155,8703.210043490224,1
141,100.0,99.02738726910509,90.8324966430664,87.82410470446503,95.0,100.0,92.85749816894531,1.9141040554872626,-0.0061432375,0.60206836,0.7583006,9500.0,8994.904821692626,8782.410470446503,9083.24966430664,0
79,100.0,100.15790442916162,100.0,100.0,93.67333221435547,100.0,91.875,1.4089006731027474,0.04281871,0.72193146,0.64693415,9367.333221435547,10015.790442916163,10000.0,10000.0,0
20,100.0,97.75555419921875,97.5,98.61125183105469,94.56107023503469,93.75,96.48251099302067,1.5660453893806063,0.16683532,0.9847545,0.34747165,8865.100334534502,9531.166534423828,9861.125183105469,9750.0,0
61,95.83374786376953,100.0,97.46506041738643,96.42435943818252,89.58374786376953,100.0,100.0,1.0,-1.0516028,-1.5447594,0.27663055,8958.374786376953,9746.506041738643,9240.707750324269,9340.442025566874,0
315,95.27749633789062,92.2655460589855,95.71375274658203,100.0,97.17778015136719,96.70047728206214,97.77777862548828,2.0,-1.4071448,-1.607029,-0.761269,9397.137721848512,8831.081662518114,9527.749633789062,9119.366726798238,0
42,100.0,100.0,93.75,83.33333587646484,92.95212826864818,95.23857116699219,96.61012031037143,1.195572360545358,0.28044334,1.1618795,0.06583945,8852.627883237035,9375.0,8333.333587646484,9375.0,1
410,95.48714447021484,95.27749633789062,88.95736323369367,96.10997208327822,95.81888580322266,99.16625213623047,96.30428314208984,2.2202716034593855,0.94037616,0.8166923,-1.1692888,9501.999788975052,8475.634849726655,9177.266789344303,8494.284594785086,1
109,95.50499725341797,96.75749969482422,89.97624969482422,95.55999755859375,100.0,96.37142944335938,96.44252911548477,2.0,-0.15084298,0.21274112,1.0471711,9637.142944335938,8705.876952388382,9126.457304370124,8593.181479977036,1
397,95.75499725341797,92.07571411132812,100.0,98.57142639160156,98.71630972534933,93.6500015258789,96.11440181943873,1.0,1.4372936,-0.2879335,-1.5297077,9244.7825564081,9207.571411132812,9438.7066633933,9575.499725341797,1
217,92.06428527832031,88.69999694824219,93.33649302554642,96.49647154121597,97.22222137451172,97.03666687011719,92.8566665649414,2.0,-0.048683584,0.49216497,0.85025567,9434.12030789128,8278.946646525595,8883.878684321824,8592.95752078186,1
87,100.0,97.5,94.75835981969266,97.52789522729167,95.08875274658203,96.86000061035156,98.8637466430664,2.0,-0.9223181,-1.4290868,0.6532715,9210.296649071504,9238.940082420035,9752.789522729166,9475.835981969265,0
466,97.5,93.33333587646484,84.62000274658203,89.34120221571457,91.20333099365234,94.64199829101562,77.44400024414062,2.7313479064639967,-0.55472803,-0.84338427,1.3053843,8631.665496036178,7897.867138214118,8710.76721603217,8250.450267791748,0
144,90.0,100.0,100.0,97.97564117784505,100.0,97.61833190917969,100.0,1.238197565185157,1.3706784,-0.14244692,-1.507133,9761.833190917969,10000.0,8817.807706006055,9000.0,1
84,95.0,100.0,95.8898130950584,92.55633629722263,82.48666381835938,95.41625213623047,100.0,5.0,-0.49300992,-0.70654714,1.3316449,7870.568312769057,9588.98130950584,8792.85194823615,9109.532244030548,1
343,95.15166473388672,100.0,96.29666900634766,96.16198493557022,100.0,95.35713958740234,95.91857147216797,4.0,0.6262094,1.2554765,-0.6941407,9535.713958740234,9629.666900634766,9149.972950734442,9162.788364282052,1
388,99.03874969482422,93.62999725341797,97.61856842041016,94.86125183105469,91.66500091552734,100.0,95.93489977440653,2.0,-0.8960924,-1.3998861,0.72338516,9166.500091552734,9140.026293085597,9394.93977583351,9668.020963356073,0
260,100.0,96.29666900634766,95.83333587646484,100.0,100.0,86.11000061035156,100.0,1.0461370646730428,-0.2337608,-0.021849636,1.1755117,8611.000061035156,9228.431024670077,10000.0,9583.333587646484,0
34,90.8324966430664,90.27833557128906,84.72166442871094,91.66714477539062,97.31911558811875,100.0,95.23525091253961,1.0,-0.36763564,-0.3928823,1.3073169,9731.911558811875,7648.53085145331,8326.355620090151,7695.480299815885,0
162,96.64683570196688,91.84375,91.66666412353516,95.57714080810547,100.84487212208603,91.00444793701172,96.7588882446289,3.0,-0.60475165,-0.94583577,1.2652503,9177.331914748982,8419.010183095932,9237.228224544722,8859.293026894684,0
231,93.33333587646484,94.39935825611241,99.0471420288086,89.89574259409619,90.15875244140625,97.40666961669922,100.0,3.0,0.7884559,1.0784928,-0.96503156,8782.063812113833,9349.986644621551,8390.269537399006,9244.40017457871,1
28,88.47250366210938,97.77777862548828,92.60142517089844,96.875,100.0,98.41222381591797,100.80416682943046,2.0,-1.000259,-1.5044837,0.43119916,9841.222381591797,9054.361650764826,8570.773792266846,8192.67992754886,1
356,98.21428680419922,96.83721569822526,85.71375274658203,88.22940078933877,87.08374786376953,95.23714447021484,87.3812484741211,3.0189739946060437,-0.2513867,-0.07174151,1.1985124,8293.607476309582,8300.281163025113,8665.387673686759,8418.315095317026,0
355,94.7925033569336,94.44499969482422,92.8566665649414,92.01358814955869,89.75333404541016,97.22166442871094,93.75,1.0,-1.9603137,-0.75282294,-1.5497452,8725.968523920863,8769.847845388285,8722.198363550548,8802.115877070872,1
186,95.43770822098921,97.14286041259766,93.80135858341963,93.05500030517578,92.43333435058594,100.0,100.0,1.0,-0.26896355,-0.12132308,1.2198322,9243.333435058594,9112.132283381152,8880.955967629428,8952.186691216784,0
19,100.0,97.75555419921875,97.5,98.61125183105469,95.89272599986887,93.75,97.10602023972517,1.5959037128735174,0.16683532,0.9847545,0.34747165,8989.943062487706,9531.166534423828,9861.125183105469,9750.0,0
18,92.45999908447266,94.73666381835938,92.77799987792969,88.19499969482422,92.09265841550973,100.0,95.97804079077092,1.7707970887030562,0.90557545,0.8832049,-1.126601,9209.265841550972,8789.478184175212,8154.5095910385135,8578.253783772583,0
411,92.0,91.66666412353516,98.41241666254331,90.71252205175921,88.43428802490234,97.61856842041016,100.0,0.7921934165270532,0.12938476,0.91232866,0.43967918,8632.828596269188,9021.137943790753,8345.552028761847,9053.942332953984,1
415,92.5,97.51142883300781,90.13999938964844,90.77799987792969,95.45500183105469,100.0,100.0,1.0,-0.40781367,-0.4981835,1.3261603,9545.500183105469,8789.680135491071,8396.964988708496,8337.94994354248,1
72,90.62333679199219,98.95874786376953,95.11833190917969,95.91374969482422,100.0,95.03111267089844,100.0,2.0,0.37012994,1.2520833,-0.15124089,9503.111267089844,9412.791024622857,8692.024041576893,8619.940627698088,1
148,100.0,94.14857482910156,100.0,93.5183334350586,92.24294945006127,97.95857238769531,100.0,1.0,-0.885564,-1.3876232,0.75076264,9035.987640958347,9414.857482910156,9351.83334350586,10000.0,0
433,96.19000244140625,96.65125274658203,95.87737811749331,95.52814452628222,98.14778137207031,96.37142944335938,100.0,1.0,0.16683532,0.9847545,0.34747165,9458.641987520736,9266.66870511346,9188.852455206095,9222.445235197312,1
37,100.0,92.56100891410425,100.0,100.0,95.83374786376953,97.77799987792969,91.66714477539062,1.0,0.47406653,1.2985865,-0.38818586,9370.432186925202,9256.100891410424,10000.0,10000.0,1
396,95.75499725341797,92.07571411132812,100.0,98.57142639160156,98.7990851970328,93.6500015258789,95.8325827754017,1.0,1.4372936,-0.2879335,-1.5297077,9252.534479457561,9207.571411132812,9438.7066633933,9575.499725341797,1
246,95.55571746826172,100.0,97.77647363363178,97.62209714754108,97.02333068847656,97.14286041259766,90.1050033569336,1.0231524704019543,0.19191281,1.0295334,0.2853081,9425.123869835981,9777.647363363178,9328.349533689634,9343.10108957826,1
137,98.21375274658203,98.8522793197161,91.25,93.98681339529497,95.9375,98.76555633544922,95.59500122070312,3.0,0.95433795,0.7890936,-1.1857413,9475.32056093216,9020.270487924094,9230.797652244644,8962.00493812561,1
150,100.0,98.21375274658203,94.92871010228988,100.0,97.77777862548828,93.75,100.0,1.5930988665957897,0.49372655,1.3003333,-0.4306292,9166.666746139526,9323.304862538262,10000.0,9492.871010228988,0
323,97.71142578125,100.0,98.46199798583984,96.27166032025593,94.44499969482422,95.50749969482422,98.95874786376953,1.0,0.46099168,1.296189,-0.3595007,9020.205779531098,9846.199798583984,9406.841192220398,9620.862208466977,0
149,100.0,100.0,100.0,96.67207065658732,93.57142639160156,100.0,84.375,1.6174055457145122,-0.14487728,0.2294739,1.0367545,9357.142639160156,10000.0,9667.207065658733,10000.0,1
445,90.83374786376953,88.88999938964844,92.38740489952171,97.81750250059665,100.0,92.70874786376953,96.11125183105469,2.0,-2.7535496,1.1036569,0.17070682,9270.874786376953,8212.316365129687,8885.130358802842,8391.89424243114,0
306,100.0,83.33374786376953,97.31886858782775,92.70122554641219,86.25,92.59333038330078,97.14286041259766,5.0,-1.2324377,-1.6253914,-0.27994084,7986.174745559692,8109.946057285359,9270.122554641219,9731.886858782775,1
402,94.33875274658203,98.27111053466797,97.0687484741211,96.83999633789062,92.70064654321256,94.03221893310547,97.19949120499629,1.5444203022734415,-0.5155272,-0.7578312,1.3250395,8716.84749099179,9539.053710762237,9135.764470500173,9157.344661720272,0
85,100.0,100.0,100.0,100.0,95.0,100.0,91.66600036621094,1.2209264215846214,-0.8802922,-1.3813668,0.7642964,9500.0,10000.0,10000.0,10000.0,0
348,100.0,100.0,96.29499816894531,90.67820134865596,82.06749725341797,92.24888610839844,100.0,2.0,0.104535215,0.8608001,0.5001954,7570.635207331856,9629.499816894531,9067.820134865597,9629.499816894531,1
