iter	Passed	Remaining
403	6686	9864
404	6694	9835
405	6700	9803
406	6706	9771
407	6737	9776
408	6766	9776
409	6777	9753
410	6783	9721
411	6787	9686
412	6793	9655
413	6801	9627
414	6808	9597
415	6816	9568
416	6826	9543
417	6838	9520
418	6846	9494
419	6927	9566
420	7001	9629
421	7014	9607
422	7025	9583
423	7040	9564
424	7057	9548
425	7069	9525
426	7082	9503
427	7089	9475
428	7096	9445
429	7230	9585
430	7234	9551
431	7247	9528
432	7261	9508
433	7271	9482
434	7278	9454
435	7281	9419
436	7294	9397
437	7302	9370
438	7312	9345
439	7326	9324
440	7346	9312
441	7355	9285
442	7361	9256
443	7367	9226
444	7373	9196
445	7381	9168
446	7386	9137
447	7393	9109
448	7401	9083
449	7408	9055
450	7414	9025
451	7419	8994
452	7437	8980
453	7441	8949
454	7446	8918
455	7453	8891
456	7460	8864
457	7471	8842
458	7479	8815
459	7487	8790
460	7491	8759
461	7494	8727
462	7498	8697
463	7503	8668
464	7507	8637
465	7510	8606
466	7516	8578
467	7520	8549
468	7524	8518
469	7530	8491
470	7535	8462
471	7538	8433
472	7541	8402
473	7546	8374
474	7552	8347
475	7555	8317
476	7559	8288
477	7564	8260
478	7568	8231
479	7571	8202
480	7575	8173
481	7579	8145
482	7584	8118
483	7588	8089
484	7591	8061
485	7597	8035
486	7600	8006
487	7604	7978
488	7607	7949
489	7612	7923
490	7616	7895
491	7621	7869
492	7653	7870
493	7739	7926
494	7750	7906
495	7753	7878
496	7761	7854
497	7764	7827
498	7767	7798
499	7771	7771
500	7776	7745
501	7780	7718
502	7783	7690
503	7786	7662
504	7789	7635
505	7795	7610
506	7798	7582
507	7801	7556
508	7806	7530
509	7810	7504
510	7814	7477
511	7818	7451
512	7823	7426
513	7827	7401
514	7831	7375
515	7835	7349
516	7842	7327
517	7847	7302
518	7853	7278
519	7858	7254
520	7862	7228
521	7866	7203
522	7876	7183
523	7880	7158
524	7884	7133
525	7891	7111
526	7894	7085
527	7897	7060
528	7906	7039
529	7909	7014
530	7914	6990
531	7926	6972
532	7929	6947
533	7942	6930
534	7976	6932
535	7991	6917
536	8026	6920
537	8031	6896
538	8049	6885
539	8067	6872
540	8072	6849
541	8077	6825
542	8085	6804
543	8089	6780
544	8115	6775
545	8120	6751
546	8154	6752
547	8158	6728
548	8163	6706
549	8170	6685
550	8176	6662
551	8212	6664
552	8215	6640
553	8218	6615
554	8220	6591
555	8223	6567
556	8230	6546
557	8238	6525
558	8254	6511
559	8290	6514
560	8298	6493
561	8366	6520
562	8379	6504
563	8387	6483
564	8390	6459
565	8395	6437
566	8398	6413
567	8403	6391
568	8421	6378
569	8436	6364
570	8655	6502
571	8665	6484
572	8669	6460
573	8674	6437
574	8680	6416
575	8685	6393
576	8689	6370
577	8696	6349
578	8700	6326
579	8706	6305
580	8711	6282
581	8719	6262
582	8728	6242
583	8732	6220
584	8735	6196
585	8739	6174
586	8743	6151
587	8747	6128
588	8750	6106
589	8753	6082
590	8757	6060
591	8762	6038
592	8766	6016
593	8773	5996
594	8778	5975
595	8783	5953
596	8815	5951
597	8828	5934
598	8834	5914
599	8846	5897
600	8864	5885
601	8938	5909
602	8978	5911
603	8983	5889
604	8992	5871
605	9008	5856
606	9012	5834
607	9026	5819
608	9032	5799
609	9043	5781
610	9072	5776
611	9116	5779
612	9122	5759
613	9127	5738
614	9131	5716
615	9137	5696
616	9141	5674
617	9145	5652
618	9154	5634
619	9158	5613
620	9161	5591
621	9165	5569
622	9169	5548
623	9172	5526
624	9175	5505
625	9181	5485
626	9185	5464
627	9188	5443
628	9192	5421
629	9219	5414
630	9251	5410
631	9255	5389
632	9258	5367
633	9263	5347
634	9268	5327
635	9272	5307
636	9285	5291
637	9312	5283
638	9317	5263
639	9321	5243
640	9325	5223
641	9336	5206
642	9354	5193
643	9357	5172
644	9364	5154
645	9368	5133
646	9374	5114
647	9379	5095
648	9383	5074
649	9389	5055
650	9396	5037
651	9401	5017
652	9405	4998
653	9409	4978
654	9414	4958
655	9432	4946
656	9435	4926
657	9443	4908
658	9448	4889
659	9452	4869
660	9464	4853
661	9467	4833
662	9472	4814
663	9476	4795
664	9479	4775
665	9483	4755
666	9488	4737
667	9492	4717
668	9495	4698
669	9498	4678
670	9502	4659
671	9506	4639
672	9509	4620
673	9512	4600
674	9515	4581
675	9519	4562
676	9522	4543
677	9525	4524
678	9529	4504
679	9532	4485
680	9537	4467
681	9543	4449
682	9568	4440
683	9777	4516
684	9795	4504
685	9801	4486
686	9805	4467
687	9808	4448
688	9811	4428
689	9815	4409
690	9821	4391
691	9824	4372
692	9839	4358
693	9850	4343
694	9856	4325
695	9860	4306
696	9900	4304
697	9908	4287
698	9974	4295
699	10046	4305
700	10058	4290
701	10070	4274
702	10076	4256
703	10103	4247
704	10107	4229
705	10154	4228
706	10195	4225
707	10217	4213
708	10240	4203
709	10250	4186
710	10253	4167
711	10271	4154
712	10303	4147
713	10317	4132
714	10326	4116
715	10519	4172
716	10647	4202
717	10764	4227
718	10797	4219
719	10800	4200
720	10813	4184
721	10919	4204
722	10998	4213
723	11059	4216
724	11066	4197
725	11085	4183
726	11089	4164
727	11096	4145
728	11103	4127
729	11136	4119
730	11141	4099
731	11147	4081
732	11151	4061
733	11155	4042
734	11160	4023
735	11163	4004
736	11183	3990
737	11188	3972
738	11194	3953
739	11197	3934
740	11204	3916
741	11208	3897
742	11210	3877
743	11231	3864
744	11310	3871
745	11390	3878
746	11394	3859
747	11396	3839
748	11399	3820
749	11406	3802
750	11412	3783
751	11435	3771
752	11439	3752
753	11446	3734
754	11451	3716
755	11460	3698
756	11466	3680
757	11475	3663
758	11483	3646
759	11491	3628
760	11497	3610
761	11500	3592
762	11509	3575
763	11521	3559
764	11528	3541
765	11533	3523
766	11541	3506
767	11545	3487
768	11549	3469
769	11557	3452
770	11571	3437
771	11574	3418
772	11577	3399
773	11581	3381
774	11586	3363
775	11592	3346
776	11595	3327
777	11605	3311
778	11615	3295
779	11631	3280
780	11634	3262
781	11641	3245
782	11672	3235
783	11675	3216
784	11692	3202
785	11697	3184
786	11702	3167
787	11705	3149
788	11721	3134
789	11724	3116
790	11726	3098
791	11732	3081
792	11736	3063
793	11739	3045
794	11742	3027
795	11745	3010
796	11835	3014
797	11838	2996
798	11841	2978
799	11845	2961
800	11851	2944
801	11855	2926
802	11861	2909
803	11870	2893
804	11873	2876
805	11877	2858
806	11882	2841
807	11886	2824
808	11888	2806
809	11892	2789
810	11902	2773
811	11910	2757
812	11917	2741
813	11934	2727
814	11969	2716
815	11974	2700
816	11978	2683
817	11984	2666
818	11986	2649
819	11991	2632
820	11996	2615
821	12000	2598
822	12016	2584
823	12028	2569
824	12033	2552
825	12076	2543
826	12130	2537
827	12148	2523
828	12163	2509
829	12166	2492
830	12170	2475
831	12173	2458
832	12176	2441
833	12181	2424
834	12184	2407
835	12189	2391
836	12192	2374
837	12196	2357
838	12211	2343
839	12214	2326
840	12216	2309
841	12221	2293
842	12389	2307
843	12477	2306
844	12487	2290
845	12520	2279
846	12579	2272
847	12613	2260
848	12620	2244
849	12628	2228
850	12630	2211
851	12640	2195
852	12661	2182
853	12664	2165
854	12667	2148
855	12678	2132
856	12692	2117
857	12701	2102
858	12709	2086
859	12728	2072
860	12732	2055
861	12734	2038
862	12738	2022
863	12742	2005
864	12777	1994
865	12780	1977
866	12783	1961
867	12788	1944
868	12808	1930
869	12811	1914
870	12817	1898
871	12822	1882
872	12828	1866
873	12832	1850
874	12838	1834
875	12858	1820
876	12862	1804
877	12865	1787
878	12868	1771
879	12878	1756
880	12881	1740
881	12907	1726
882	12911	1710
883	12914	1694
884	12919	1678
885	12921	1662
886	12925	1646
887	12928	1630
888	12972	1619
889	12977	1603
890	12985	1588
891	12997	1573
892	12999	1557
893	13002	1541
894	13004	1525
895	13006	1509
896	13008	1493
897	13010	1477
898	13013	1462
899	13017	1446
900	13023	1430
901	13059	1418
902	13076	1404
903	13109	1392
904	13171	1382
905	13175	1366
906	13178	1351
907	13196	1337
908	13209	1322
909	13214	1306
910	13221	1291
911	13225	1276
912	13232	1260
913	13235	1245
914	13242	1230
915	13246	1214
916	13252	1199
917	13274	1185
918	13277	1170
919	13279	1154
920	13282	1139
921	13315	1126
922	13318	1111
923	13331	1096
924	13336	1081
925	13339	1066
926	13344	1050
927	13348	1035
928	13350	1020
929	13367	1006
930	13418	994
931	13440	980
932	13442	965
933	13445	950
934	13453	935
935	13551	926
936	13555	911
937	13558	896
938	13562	881
939	13589	867
940	13601	852
941	13630	839
942	13634	824
943	13638	809
944	13640	793
945	13650	779
946	13657	764
947	13680	750
948	13688	735
949	13697	720
950	13701	705
951	13704	691
952	13710	676
953	13719	661
954	13721	646
955	13727	631
956	13730	616
957	13735	602
958	13738	587
959	13746	572
960	13749	557
961	13752	543
962	13755	528
963	13760	513
964	13771	499
965	13774	484
966	13776	470
967	13779	455
968	13783	440
969	13785	426
970	13787	411
971	13790	397
972	13792	382
973	13794	368
974	13797	353
975	13800	339
976	13801	324
977	13803	310
978	13807	296
979	13809	281
980	13815	267
981	13818	253
982	13824	239
983	13851	225
984	13854	210
985	13856	196
986	13902	183
987	13951	169
988	13983	155
989	14016	141
990	14019	127
991	14024	113
992	14028	98
993	14032	84
994	14039	70
995	14136	56
996	14139	42
997	14142	28
998	14146	14
999	14150	0
