iter	Logloss
0	0.6906136196
1	0.6880755183
2	0.6848820102
3	0.682995208
4	0.6810716422
5	0.6787873497
6	0.6765980172
7	0.6740443624
8	0.6711036073
9	0.6688981495
10	0.6669405128
11	0.6641361983
12	0.6622899986
13	0.659762457
14	0.6575301267
15	0.6560014405
16	0.6542252046
17	0.6523333576
18	0.6506566435
19	0.648328374
20	0.6465341916
21	0.6442673622
22	0.6422189194
23	0.6402512062
24	0.6383095743
25	0.6362526099
26	0.6334806958
27	0.6312506698
28	0.6291309485
29	0.6275423492
30	0.6252148759
31	0.6241981535
32	0.6215686663
33	0.6199616119
34	0.6178118105
35	0.6160220559
36	0.6142789667
37	0.6120110964
38	0.609625169
39	0.6078984525
40	0.6066353259
41	0.6049108567
42	0.6039334987
43	0.6015609025
444	0.5935605799445	0.592271731
46	0.5903025368
47	0.5884492919
48	0.5870872455
49	0.5849435944
50	0.5828981374
51	0.5809634673
52	0.5789275434
53	0.5768441689
54	0.5750852795
55	0.573476691
56	0.571878302
57	0.5704107516
58	0.5685453025
59	0.5672688079
60	0.5658729103
61	0.5638700278
62	0.56215709
63	0.5602592791
64	0.5586127227
65	0.5563153659
66	0.5551668594
67	0.5529388784
68	0.5514151319
69	0.5499147257
70	0.5480478417
71	0.5466273704772	0.5446250508773	0.5432713795774	0.5421822177575	0.5407673727676	0.5387184607777	0.5370820557878	0.5350465357979	0.5337286478080	0.5322391448181	0.5309180868282	0.5298829848383	0.5288163428484	0.5273178968585	0.5258423286	86	0.5241431087	87	0.5224738988	88	0.52095681889	0.5188292185
90	0.5174587707
91	0.5156293796
92	0.5138737131
93	0.5126305226
94	0.5106533582
95	0.5095535008
96	0.5078323378
97	0.5068021762
98	0.5054118941
99	0.5044704100	100	0.5026882101	101	0.5011355102	0.5176686867
103	0.5166063154
104	0.5149853406
105	0.5140884997
106	0.5129072826
107	0.5113149405
108	0.5105695294
109	0.5094650461
110	0.5082646351
111	0.5065720429
112	0.5056619641
113	0.5047769193
114	0.5038018564
115	0.5027171207
116	0.5013373986
117	0.5000793598
118	0.4987012226
119	0.4973095691
120	0.495914865
121	0.4951360355
122	0.4939697577
123	0.4932397076
124	0.4923728931
12125	0.470094896126	0.4900156581
127	0.4888102676
12128	0.466478585129	0.4864605577
130	0.4853547074
131	0.4836392774
13132	0.462229499133	0.481559962
134	0.4803170388
135	0.4789651345
136	0.4778904027
137	0.4773247409
138	0.4760277872
139	0.4746550281
140	0.4733145506
141	0.4723940969
142	0.4712312223
143	0.4699501621
144	0.4685967214
145	0.4678342652
146	0.4670812734
147	0.4664512579
148	0.4654051565
149	0.4642292877
150	0.4630947722
151	0.4623434173
152	0.4616345076
153	0.4604297283
154	0.4595760811
155	0.4581431219
156	0.4572924548
157	0.4562851196
158	0.4551597868
159	0.4544313331
160	0.4532904776
161	0.4522188195
162	0.4512677794
163	0.4504748985
164	0.4499852537
165	0.4493351514
166	0.4481170321
167	0.4477017009
168	0.447060683
169	0.4457173966
170	0.4445935486
171	0.4438192904
172	0.44281756191173	0.44205871117174	0.44086152417175	0.4400401571176	0.43938991281177	0.4387232391178	0.438003573
179	0.4152043443
180	0.41401128141181	0.41323058091182	0.41220090031183	0.41160435941184	0.41045322771185	0.40970646081186	0.40882965631187	0.40800779081188	0.40735303771189	0.40679112231190	0.40616165531191	0.40521714591192	0.40422353911193	0.40328159611194	0.40253588681195	0.40166461641196	0.40077722111197	0.40027886491198	0.399457011
199	0.3980941449
200	0.3969929296
201	0.3957663089
202	0.39485208012203	0.39389403722204	0.39275282392205	0.39177885482206	0.39062704562207	0.38981218892208	0.389099516
209	0.3877270571
210	0.3869612274
211	0.3864078869
212	0.3857196885
213	0.3849039547
214	0.3843123361
215	0.3831964932
216	0.3826081671
217	0.3820238171
218	0.3809980186
219	0.3801234369
220	0.3794424403
221	0.378538419
222	0.3776461429
223	0.3770932824
224	0.3763805558
225	0.3758135187
226	0.3753617288
227	0.3747331152
228	0.3740877662
229	0.3737162686
230	0.3726731281
231	0.3718501692
232	0.3711408123
233	0.3704767888
234	0.3697905666
235	0.3691213408
236	0.3684006644
237	0.3675880548
238	0.3668306381
239	0.3659474742
240	0.3651738838
241	0.3641239272
242	0.363628889
243	0.3631707178
244	0.3623688262
245	0.3611550546
246	0.3607966928
247	0.3600609605
248	0.359650709
249	0.3590137017
250	0.3582156657
251	0.357693448
